participante,idioma,estado,atenção,motivo de exclusão,código do item,classificação,ordem,estímulo,época,condição,modelo,tempo da resposta (s),mediana do item (s),ritmo relativo,ritmo demasiado rápido
P001,Português,em curso,,,s01__E3__pipeline,6,1,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,,19.5,,
P002,Português,concluído,Sim,,s09__E3__baseline,7,1,s09,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,,26.5,,Não
P002,Português,concluído,Sim,,s06__E1__baseline,3,2,s06,E1,linha de base,microsoft/DialoGPT-medium,63,16,3.938,Não
P002,Português,concluído,Sim,,s01__E3__pipeline,7,3,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,39,19.5,2.000,Não
P002,Português,concluído,Sim,,s12__E3__baseline,7,4,s12,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,68,21,3.238,Não
P002,Português,concluído,Sim,,s04__E3__pipeline,7,5,s04,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,15,17,0.882,Não
P002,Português,concluído,Sim,,s07__E2__baseline,7,6,s07,E2,linha de base,facebook/blenderbot-400M-distill,17,15,1.133,Não
P002,Português,concluído,Sim,,s11__E3__baseline,7,7,s11,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,30,20,1.500,Não
P002,Português,concluído,Sim,,s03__E1__pipeline,1,8,s03,E1,pipeline,microsoft/DialoGPT-medium,74,11,6.727,Não
P002,Português,concluído,Sim,,s03__E2__baseline,1,9,s03,E2,linha de base,facebook/blenderbot-400M-distill,9,13,0.692,Não
P002,Português,concluído,Sim,,s01__E2__baseline,6,10,s01,E2,linha de base,facebook/blenderbot-400M-distill,14,14,1.000,Não
P002,Português,concluído,Sim,,s02__E2__baseline,6,11,s02,E2,linha de base,facebook/blenderbot-400M-distill,16,15,1.067,Não
P002,Português,concluído,Sim,,s08__E3__baseline,7,12,s08,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,19,15,1.267,Não
P002,Português,concluído,Sim,,s08__E1__baseline,1,13,s08,E1,linha de base,microsoft/DialoGPT-medium,9,6,1.500,Não
P002,Português,concluído,Sim,,s11__E2__pipeline,2,14,s11,E2,pipeline,facebook/blenderbot-400M-distill,22,16,1.375,Não
P002,Português,concluído,Sim,,s07__E3__baseline,7,15,s07,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,14,24,0.583,Não
P002,Português,concluído,Sim,,s12__E4__pipeline,6,16,s12,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,14,13,1.077,Não
P002,Português,concluído,Sim,,s01__E2__pipeline,5,17,s01,E2,pipeline,facebook/blenderbot-400M-distill,14,11.5,1.217,Não
P002,Português,concluído,Sim,,s09__E1__baseline,1,18,s09,E1,linha de base,microsoft/DialoGPT-medium,12,11,1.091,Não
P002,Português,concluído,Sim,,s05__E4__baseline,7,19,s05,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,20,13.5,1.481,Não
P002,Português,concluído,Sim,,s09__E2__pipeline,5,20,s09,E2,pipeline,facebook/blenderbot-400M-distill,16,16,1.000,Não
P002,Português,concluído,Sim,,s05__E3__pipeline,7,21,s05,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,11,18,0.611,Não
P002,Português,concluído,Sim,,s06__E4__pipeline,7,22,s06,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,10,13,0.769,Não
P002,Português,concluído,Sim,,s07__E3__pipeline,7,23,s07,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,15,16.5,0.909,Não
P002,Português,concluído,Sim,,s04__E3__baseline,7,24,s04,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,7,17,0.412,Não
P003,Português,em curso,,,s01__E2__pipeline,6,1,s01,E2,pipeline,facebook/blenderbot-400M-distill,,11.5,,Não
P003,Português,em curso,,,s12__E4__pipeline,6,2,s12,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,21,13,1.615,Não
P003,Português,em curso,,,s10__E3__pipeline,5,3,s10,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,15,20,0.750,Não
P003,Português,em curso,,,s08__E2__baseline,1,4,s08,E2,linha de base,facebook/blenderbot-400M-distill,14,14,1.000,Não
P004,Inglês,concluído,Sim,,s11__E2__baseline,3,1,s11,E2,linha de base,facebook/blenderbot-400M-distill,,16,,Não
P004,Inglês,concluído,Sim,,s10__E4__baseline,5,2,s10,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,15,13,1.154,Não
P004,Inglês,concluído,Sim,,s09__E3__pipeline,7,3,s09,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,17,17,1.000,Não
P004,Inglês,concluído,Sim,,s06__E3__pipeline,7,4,s06,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,21,18,1.167,Não
P004,Inglês,concluído,Sim,,s10__E2__pipeline,7,5,s10,E2,pipeline,facebook/blenderbot-400M-distill,12,11.5,1.043,Não
P004,Inglês,concluído,Sim,,s04__E2__pipeline,3,6,s04,E2,pipeline,facebook/blenderbot-400M-distill,10,14,0.714,Não
P004,Inglês,concluído,Sim,,s08__E1__pipeline,1,7,s08,E1,pipeline,microsoft/DialoGPT-medium,10,10,1.000,Não
P004,Inglês,concluído,Sim,,s11__E4__pipeline,6,8,s11,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,15,14.5,1.034,Não
P004,Inglês,concluído,Sim,,s03__E3__pipeline,6,9,s03,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,16,15,1.067,Não
P004,Inglês,concluído,Sim,,s12__E3__pipeline,3,10,s12,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,14,19,0.737,Não
P004,Inglês,concluído,Sim,,s12__E4__baseline,4,11,s12,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,10,20,0.500,Não
P004,Inglês,concluído,Sim,,s10__E3__pipeline,7,12,s10,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,24,20,1.200,Não
P004,Inglês,concluído,Sim,,s12__E1__baseline,1,13,s12,E1,linha de base,microsoft/DialoGPT-medium,5,10,0.500,Não
P004,Inglês,concluído,Sim,,s02__E4__baseline,5,14,s02,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,11,15,0.733,Não
P004,Inglês,concluído,Sim,,s05__E2__baseline,5,15,s05,E2,linha de base,facebook/blenderbot-400M-distill,10,16,0.625,Não
P004,Inglês,concluído,Sim,,s06__E2__pipeline,4,16,s06,E2,pipeline,facebook/blenderbot-400M-distill,10,15,0.667,Não
P004,Inglês,concluído,Sim,,s07__E1__pipeline,1,17,s07,E1,pipeline,microsoft/DialoGPT-medium,10,12,0.833,Não
P004,Inglês,concluído,Sim,,s08__E3__pipeline,7,18,s08,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,28,21.5,1.302,Não
P004,Inglês,concluído,Sim,,s01__E1__baseline,1,19,s01,E1,linha de base,microsoft/DialoGPT-medium,4,8,0.500,Não
P004,Inglês,concluído,Sim,,s08__E2__baseline,5,20,s08,E2,linha de base,facebook/blenderbot-400M-distill,8,14,0.571,Não
P004,Inglês,concluído,Sim,,s09__E1__pipeline,1,21,s09,E1,pipeline,microsoft/DialoGPT-medium,4,12,0.333,Não
P004,Inglês,concluído,Sim,,s03__E1__baseline,1,22,s03,E1,linha de base,microsoft/DialoGPT-medium,7,14,0.500,Não
P004,Inglês,concluído,Sim,,s03__E4__baseline,4,23,s03,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,9,13,0.692,Não
P004,Inglês,concluído,Sim,,s06__E2__baseline,3,24,s06,E2,linha de base,facebook/blenderbot-400M-distill,8,14,0.571,Não
P005,Português,concluído,Sim,ritmo demasiado rápido,s06__E4__baseline,6,1,s06,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,,20,,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s03__E4__pipeline,4,2,s03,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,12,22,0.545,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s03__E1__baseline,6,3,s03,E1,linha de base,microsoft/DialoGPT-medium,5,14,0.357,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s12__E1__baseline,5,4,s12,E1,linha de base,microsoft/DialoGPT-medium,12,10,1.200,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s11__E1__pipeline,5,5,s11,E1,pipeline,microsoft/DialoGPT-medium,11,10,1.100,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s07__E1__pipeline,4,6,s07,E1,pipeline,microsoft/DialoGPT-medium,3,12,0.250,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s04__E1__pipeline,4,7,s04,E1,pipeline,microsoft/DialoGPT-medium,2,13,0.154,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s08__E4__pipeline,5,8,s08,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,3,19.5,0.154,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s01__E1__baseline,5,9,s01,E1,linha de base,microsoft/DialoGPT-medium,2,8,0.250,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s10__E4__pipeline,6,10,s10,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,8,18,0.444,Sim
